years,place,lat,lon
177,dumfries,38.567620,-77.328038
135,trussville,33.619825,-86.608876
272,sanford,28.802861,-81.269453
402,farmington,37.780885,-90.421790
221,tallahassee,30.438256,-84.280733
181,moses lake,47.130142,-119.278077
414,jeffersonville,38.277570,-85.737185
164,princeton,37.366229,-81.102592
236,crossett,33.128178,-91.961243
371,vero beach,27.638643,-80.397274
498,kissimmee,28.291956,-81.407571
415,north vancouver,49.319647,-123.068237
133,atlantic beach,30.334408,-81.398696
173,cornwall,41.434338,-74.035368
118,milton-freewater,45.932635,-118.387744
246,magnolia,33.267072,-93.239334
336,byron,32.653756,-83.759630
276,cape charles,37.267916,-76.017434
412,chewelah,48.276287,-117.715521
220,river forest,41.897809,-87.813948
345,coulterville,37.710748,-120.197213
220,valley view,33.488167,-97.165013
433,lafayette,42.912525,-76.106296
242,milan,41.453089,-90.572080
166,guyton,32.336304,-81.391499
332,swainsboro,32.597386,-82.333738
343,sikeston,36.876719,-89.587858
227,newark,39.683723,-75.749657
245,centreville,32.944568,-87.138607
142,wareham,41.761451,-70.719734
232,interlochen,44.645374,-85.767608
486,lynbrook,40.654825,-73.671797
447,pickens,34.883449,-82.707357
400,sellersville,40.353993,-75.304898
115,troutman,35.700692,-80.888129
260,wyandotte,42.214206,-83.149924
186,ruthven,43.129132,-94.899153
192,escondido,33.119207,-117.086421
301,chillicothe,39.333120,-82.982402
406,dearborn,42.322260,-83.176314
397,roslyn,40.799823,-73.650962
154,alliance,40.915336,-81.105931
465,fitzgerald,31.714908,-83.252654
419,greenbelt,39.004554,-76.875528
335,lamesa,32.737600,-101.950992
481,chappell hill,30.142493,-96.257171
242,creston,49.095540,-116.513508
469,hartville,40.963668,-81.331220
302,lake geneva,42.591684,-88.433430
342,front royal,38.918167,-78.194445
415,island park,40.604270,-73.655408
425,hamburg,41.153429,-74.576271
370,new palestine,39.721988,-85.889147
171,mount pleasant,32.832322,-79.828426
256,warren,40.634249,-74.500480
273,abbeville,29.974650,-92.134292
252,massapequa,40.680656,-73.474291
381,bluefield,37.252617,-81.271210
230,el paso county,38.910832,-104.472330
298,claremont,43.376740,-72.346756
452,oregon city,45.357343,-122.606758
325,garner,35.711264,-78.614171
302,lexington,35.824026,-80.253384
170,silverthorne,39.629619,-106.071294
291,lakewood,33.853627,-118.133956
210,greenport,41.103433,-72.359250
313,berkley,42.503091,-83.183539
448,bladensburg,38.939278,-76.933863
208,millry,31.634050,-88.313349
109,ruckersville,38.233191,-78.368883
492,fredericksburg,30.275201,-98.871984
333,louisville,33.001541,-82.411238
188,griffith,41.528369,-87.423650
394,kalkaska,44.734167,-85.175833
247,granbury,32.442083,-97.794197
481,covington,33.596781,-83.860183
194,manhasset,40.797879,-73.699575
339,chickasha,35.052565,-97.936433
123,fort washington,40.141678,-75.192694
127,oregon,41.643660,-83.486877
373,cottonwood,34.739188,-112.009879
168,mobile,30.694357,-88.043054
368,fort dodge,42.497469,-94.168016
393,elmhurst,41.899474,-87.940342
319,deerfield,42.544559,-72.605643
483,weatherford,35.526163,-98.707574
112,algonquin,42.165580,-88.294249
142,middletown,40.396801,-74.091598
264,massapequa park,40.680489,-73.455312
456,rayville,32.477364,-91.754847
500,maplewood,40.729979,-74.271992
201,holtsville,40.815376,-73.045108
492,dover,39.158168,-75.524368
105,stoughton,42.916946,-89.217894
448,beaver dam,43.457769,-88.837329
496,tahlequah,35.915370,-94.969956
382,massillon,40.796724,-81.521509
103,baldwyn,34.509544,-88.635331
381,waverly,42.010352,-76.527166
414,fairhaven,41.637604,-70.903649
293,ontario,44.026553,-116.962938
107,north olmsted,41.415602,-81.923473
256,anaheim,33.835293,-117.914504
270,ellington,41.917283,-72.458236
419,santa monica,34.019454,-118.491191
449,bandera,29.726613,-99.073646
272,albany,40.248607,-94.331068
244,fort edward,43.267018,-73.584560
453,bellville,29.950225,-96.257186
387,clemson,34.683438,-82.837365
119,franklin,42.083431,-71.396725
357,chester,37.356816,-77.441650
127,jefferson,44.206742,-69.452544
278,orofino,46.479347,-116.255139
230,pascoag,41.955654,-71.702290
282,hickory,40.299104,-80.308786
494,stanfordville,41.867165,-73.713798
339,old bethpage,40.762599,-73.453179
471,bethpage,40.744266,-73.482069
244,corpus christi,27.800583,-97.396381
447,palm beach,26.705621,-80.036430
369,waldron,34.898432,-94.090763
165,ashland,45.607500,-106.286389
154,charlotte,35.227087,-80.843127
297,westminster,34.664820,-83.096542
456,billerica,42.558422,-71.268946
196,knox,41.234506,-79.537270
496,liberty,30.057993,-94.795478
352,southfield,42.473369,-83.221873
366,westwego,29.906039,-90.142296
499,st. albans,38.379369,-81.819166
334,north little rock,34.769536,-92.267094
498,cypress,33.816960,-118.037285
493,greensboro,33.575683,-83.182379
184,springfield,36.509212,-86.884998
285,rose hill,34.828224,-78.023042
290,waymart,41.580362,-75.408237
235,libertyville,42.283079,-87.953130
399,west point,37.531533,-76.796350
309,athens,35.442851,-84.592990
373,indian trail,35.076814,-80.669235
395,fairbury,40.146617,-97.179846
356,port washington,40.825656,-73.698186
392,durant,33.993986,-96.370824
224,san diego,32.715329,-117.157255
457,greenville,43.177531,-85.252799
132,prairie farm,45.237184,-91.981567
372,flowery branch,34.185102,-83.925181
499,burlington,40.071222,-74.864887
382,fort valley,32.553759,-83.887408
220,cicero,41.845588,-87.753945
494,lincoln park,42.250594,-83.178536
287,st. petersburg,27.773056,-82.640000
402,louisville,33.123738,-89.055062
311,sweetwater,35.601464,-84.461039
210,hampshire,42.097803,-88.530364
196,rawlins,41.791070,-107.238663
195,lititz,40.157317,-76.306901
193,blue ridge,34.863972,-84.324087
398,auburn hills,42.687532,-83.234103
427,plano,33.019843,-96.698886
456,martinsville,39.427825,-86.428328
331,sudbury,42.383428,-71.416173
248,mount airy,39.376214,-77.154704
250,fort myers,26.640628,-81.872308
455,webster city,42.469432,-93.815915
322,marion,29.571340,-98.140287
479,sullivan,39.095320,-87.405852
164,marlboro,41.605649,-73.971528
239,stow,42.437037,-71.505620
159,crossville,35.948957,-85.026901
328,enterprise,31.315171,-85.855216
426,nederland,29.974380,-93.992396
253,milbank,45.218611,-96.633611
355,philipsburg,40.896446,-78.220569
328,arnold,38.432832,-90.377619
343,milford,41.322316,-74.802388
340,wyoming,45.337500,-92.998056
374,stockton,37.957702,-121.290780
217,moab,38.573315,-109.549839
219,eagle,42.879456,-88.474265
359,westport,41.638889,-71.050000
336,riviera,27.298649,-97.814888
433,olney,33.370663,-98.752839
114,sidney,41.144822,-102.977450
213,avondale,33.435598,-112.349602
111,exton,40.032582,-75.627458
397,south glens falls,43.299239,-73.635117
111,nampa,43.540717,-116.563462
324,windsor,38.547133,-122.816380
357,cathedral city,33.779743,-116.465291
435,seminole,27.839747,-82.791213
490,pella,41.408033,-92.916405
374,holland,41.621718,-83.711604
357,suffield,41.994037,-72.696335
376,dartmouth,41.613032,-70.970479
280,cottonwood,31.048793,-85.304933
493,suncook,43.130638,-71.453124
361,sisseton,45.664682,-97.049805
438,brewton,31.105178,-87.072192
428,westerville,40.126174,-82.929070
433,graniteville,33.563331,-81.808162
278,chelsea,42.318092,-84.020503
487,upton,42.174488,-71.602258
207,ilion,43.015070,-75.035435
177,port townsend,48.117039,-122.760447
348,avon,39.762823,-86.399717
349,cumberland,39.652865,-78.762518
279,oxnard,34.197505,-119.177052
203,corte madera,37.925481,-122.527475
386,elizabethtown,40.152872,-76.602745
484,langhorne,40.174554,-74.922666
319,cananea,30.981944,-110.300556
350,michigan city,41.707539,-86.895030
496,eatontown,40.296222,-74.050973
340,mosinee,44.793023,-89.703178
496,murfreesboro,35.845621,-86.390270
478,pennington,40.328440,-74.790718
266,andrews,33.451278,-79.560897
444,ocracoke,35.114615,-75.981010
105,orosi,36.544950,-119.287338
338,chattanooga,35.045630,-85.309680
103,gibsonton,27.853637,-82.382593
262,victoria,44.858723,-93.661534
340,genesee township,43.112500,-83.617778
203,elgin,34.170983,-80.794252
229,belton,31.056013,-97.464453
328,south boston,36.698749,-78.901399
404,easley,34.829838,-82.601521
425,rouyn-noranda,48.234236,-79.018784
130,marion,34.178216,-79.400607
118,ahoskie,36.286822,-76.984681
166,dunlap,35.371457,-85.390521
454,kewanee,41.245593,-89.924830
143,larchmont,40.927877,-73.751798
500,iowa city,41.661128,-91.530168
473,floresville,29.133578,-98.156119
187,randallstown,39.367328,-76.795252
351,pleasantville,39.389839,-74.524042
435,taunton,41.900101,-71.089767
404,hazel green,34.932310,-86.571938
293,howell,42.607255,-83.929395
256,syracuse,43.048122,-76.147424
288,union,40.697590,-74.263163
324,erie,42.129224,-80.085059
355,wytheville,36.948453,-81.084811
476,stevens point,44.523579,-89.574563
198,citrus heights,38.707125,-121.281061
395,st. marys,41.427374,-78.560940
459,hawthorne,38.524644,-118.624578
137,centerport,40.899196,-73.367839
121,alvin,29.423847,-95.244101
444,glen ellyn,41.877529,-88.067012
143,norfolk,42.119543,-71.325056
386,pottstown,40.245374,-75.649630
484,onalaska,30.805746,-95.116326
300,northfield,44.458298,-93.161604
350,kalama,46.008447,-122.844551
265,carlisle,34.783147,-91.746523
102,cumberland,41.966667,-71.432778
424,morrice,42.838642,-84.178300
75,rocklin,38.790734,-121.235783
92,jersey shore,41.202017,-77.264415
79,ontario,43.220943,-77.283379
66,pardeeville,43.537761,-89.300117
70,south hill,36.726532,-78.128886
70,wakefield,42.503940,-71.072339
57,wayne,40.925372,-74.276544
82,ocean springs,30.411310,-88.827806
67,dallas,32.780140,-96.800451
55,greenbrier,35.233971,-92.387655
71,methuen,42.726202,-71.190892
76,fort jennings,40.906439,-84.296616
51,yreka,41.735419,-122.634471
77,port gibson,31.960773,-90.981732
78,north andover,42.698702,-71.135058
54,antioch,38.004921,-121.805789
66,wills point,32.709295,-96.008302
50,lincoln,38.891565,-121.293008
88,chariton,41.020000,-93.314099
91,new bethlehem,41.001732,-79.331430
60,new hartford,43.073403,-75.287666
65,dunlap,40.861704,-89.678710
60,cuthbert,31.771275,-84.789366
99,woodruff,34.739570,-82.037047
52,bronx,40.850000,-73.866667
63,bullhead city,35.147777,-114.568298
97,pennsauken township,39.956205,-75.058009
73,clinton,41.844473,-90.188738
63,oak park,34.179171,-118.762868
85,northwood,47.734155,-97.566754
69,pasadena,29.691063,-95.209101
78,tuscaloosa,33.209841,-87.569173
99,monroe,39.440336,-84.362163
65,danielsville,40.794792,-75.532940
98,steubenville,40.369791,-80.633964
57,chatsworth,34.765915,-84.769938
63,novi,42.480590,-83.475491
70,montgomery,32.366805,-86.299969
99,cashiers,35.111906,-83.099635
66,jordan,43.065344,-76.472993
76,kinder,30.485479,-92.850703
87,waldorf,38.626512,-76.910548
56,martins ferry,40.095906,-80.724526
90,lafayette township,41.098430,-74.688497
72,great falls,47.494184,-111.283345
87,decatur,34.605925,-86.983342
60,larkspur,37.934092,-122.535254
74,palmdale,34.579434,-118.116461
83,erwin,36.145108,-82.416806
60,chesterfield,34.735989,-80.088119
71,benton harbor,42.116706,-86.454189
87,asheboro,35.707915,-79.813645
97,frisco,33.150674,-96.823612
85,huntington station,40.853432,-73.411509
72,walpack township,41.125556,-74.912222
98,rocky point,40.952599,-72.925381
65,east haven,41.284169,-72.868456
53,richfield,38.772467,-112.084094
79,curwensville,40.975614,-78.525024
65,menomonee falls,43.178897,-88.117313
72,loudon,35.732854,-84.333811
78,crisfield,37.983458,-75.853821
89,hyattsville,38.955944,-76.945530
57,nipomo,35.042755,-120.475999
88,bowling green,41.374774,-83.651323
58,blackwood,39.802336,-75.064060
84,sour lake,30.140212,-94.411024
80,hampton,42.937593,-70.838922
81,hiram,43.878611,-70.803333
94,danville,42.912588,-71.124504
58,norfolk,36.850769,-76.285873
97,la puente,34.020011,-117.949508
72,chambersburg,39.937591,-77.661102
71,westlake,30.242150,-93.250710
82,poquoson,37.122366,-76.345777
67,hillside,41.877808,-87.902840
95,harwich,41.685387,-70.076614
79,blue hill,44.413966,-68.586690
72,fontana,34.092233,-117.435048
88,new port richey,28.244177,-82.719267
86,waconia,44.850432,-93.787643
52,lake placid,27.293100,-81.362850
82,ansonia,41.346208,-73.078997
66,garden city,31.863902,-101.481197
54,hollidaysburg,40.427295,-78.388902
63,granville,40.068119,-82.519604
72,south san francisco,37.654656,-122.407750
84,palestine,31.762115,-95.630789
81,macomb,40.459208,-90.671797
68,old saybrook,41.296016,-72.384530
71,rockville,39.762540,-87.229181
94,weed,41.422650,-122.386127
66,bridgton,44.054802,-70.712868
55,greenfield,39.785043,-85.769423
87,kendallville,41.441438,-85.264975
91,smithville,39.071092,-86.507892
61,farmington,36.042025,-94.247152
94,cross plains,43.114439,-89.655678
75,eaton rapids,42.509204,-84.655814
80,pharr,26.194796,-98.183622
61,sevierville,35.868145,-83.561835
94,tichigan,42.806729,-88.218413
53,grundy,37.277889,-82.099022
53,wind gap,40.848151,-75.291569
58,wenatchee,47.423460,-120.310349
62,tobaccoville,36.238194,-80.371442
98,dorval,45.450000,-73.750000
74,owatonna,44.085557,-93.225935
95,montreal,45.508670,-73.553992
96,hartselle,34.443428,-86.935284
100,natrona heights,40.623038,-79.729845
50,plymouth,41.672042,-73.052885
60,port hueneme,34.147783,-119.195107
68,poulsbo,47.735928,-122.646537
51,matteson,41.503923,-87.713102
70,vernal,40.455516,-109.528748
95,corvallis,46.314088,-114.112873
86,cincinnati,39.103118,-84.512020
52,bolivar,37.614484,-93.410475
58,keswick,44.234798,-79.465353
79,glen rose,32.234587,-97.755306
84,christiansburg,37.129852,-80.408939
96,o'fallon,38.592323,-89.910991
68,camas,45.587063,-122.399536
61,robinson,39.005320,-87.739193
56,eagle pass,28.709143,-100.499521
78,fort worth,32.755488,-97.330766
50,colton,34.073902,-117.313655
72,cupertino,37.322998,-122.032182
66,tallmadge,41.101445,-81.441779
62,greenville,33.138449,-96.110807
71,st. albans,44.810713,-73.083558
89,spartanburg,34.949567,-81.932048
62,bloomingdale,41.002042,-74.326539
52,ogunquit,43.247231,-70.607132
82,solvang,34.595820,-120.137648
85,hampton,37.029869,-76.345222
62,mount prospect,42.066417,-87.937291
62,canton,41.824757,-72.895618
53,new hope,40.364273,-74.951279
85,jefferson city,38.576702,-92.173516
81,oceanside,40.638714,-73.640130
58,feasterville-trevose,40.146638,-74.995226
71,wheatland,39.009895,-121.423013
58,hamilton,42.636205,-70.843105
66,indiana,40.621455,-79.152535
68,sykesville,39.373715,-76.967757
82,walker,30.487968,-90.861488
58,eveleth,47.462428,-92.539906
99,brentwood,37.931868,-121.695786
55,kenilworth,40.676491,-74.290703
97,new wilmington,41.122281,-80.332843
88,brooklyn,39.238195,-76.603722
51,rockland,42.130656,-70.916155
60,crystal river,28.902479,-82.592601
92,sperryville,38.657052,-78.226139
68,college station,30.627977,-96.334407
83,north ridgeville,41.389491,-82.019032
90,toledo,41.663938,-83.555212
74,kaukauna,44.278043,-88.272050
82,jacksonville,42.313458,-122.966986
99,berwyn,41.850587,-87.793668
92,ravenna,41.157557,-81.242047
99,richmond hill,31.938265,-81.303443
84,traverse city,44.763057,-85.620632
100,columbus,40.072789,-74.720689
77,glenwood,41.542535,-87.602266
70,marlborough,42.345927,-71.552287
67,marion,40.588670,-83.128524
72,aptos,36.977173,-121.899402
67,poland,44.060628,-70.393667
89,dare county,35.654962,-75.620809
81,carencro,30.317144,-92.049010
81,easton,38.774283,-76.076330
53,cottage grove,43.076108,-89.199559
77,gardiner,44.230070,-69.775322
97,romulus,42.752546,-76.834038
88,kent,47.380933,-122.234843
72,miami beach,25.790654,-80.130045
91,clackamas,45.407621,-122.570369
56,ivins,37.168591,-113.679406
85,columbia city,41.157269,-85.488313
77,st. helens,45.859011,-122.815818
58,coventry,41.784680,-72.339302
71,burtonsville,39.111219,-76.932475
70,winter haven,28.022244,-81.732857
63,east northport,40.876765,-73.324561
54,stuart,41.503424,-94.318371
52,merton,43.146674,-88.306761
89,ayr,43.285472,-80.450784
54,cape canaveral,28.388333,-80.603611
91,findlay,41.044220,-83.649932
57,killingworth,41.358187,-72.564560
88,blackstone,42.017780,-71.541670
57,summerdale,30.487695,-87.699709
57,humboldt,35.819792,-88.915895
76,moosic,41.353413,-75.738248
68,cooperstown,42.700630,-74.924321
82,mexico beach,29.947983,-85.417977
82,mcminnville,35.686589,-85.780145
93,windham,42.800644,-71.304229
63,firestone,40.112484,-104.936644
89,zellwood,28.731106,-81.601185
99,montclair,34.077510,-117.689778
60,colville,48.544997,-117.900954
51,riverton,40.521893,-111.939102
78,milwaukee,43.038902,-87.906474
87,valley park,38.549220,-90.492621
96,magog,45.266486,-72.147989
74,sparta,43.944133,-90.812912
94,north branford,41.327597,-72.767320
83,mohnton,40.285925,-75.984380
60,avilla,41.365882,-85.238863
74,hayward,46.013006,-91.484621
65,landrum,35.175115,-82.189279
63,rhinebeck,41.931829,-73.907437
86,birdsboro,40.264537,-75.804085
82,whitehall,43.410011,-86.348679
88,milford,42.139858,-71.516305
68,citrus county,28.884884,-82.518584
80,port angeles,48.118146,-123.430741
53,comstock park,43.038637,-85.670033
81,copperas cove,31.124062,-97.903078
67,sacramento,38.581572,-121.494400
88,franklin,39.558947,-84.304107
95,sterling city,31.836250,-100.984832
80,san nicolas de los garza,25.736608,-100.271230
79,lexington,37.784021,-79.442816
70,aberdeen,45.464698,-98.486483
54,manhattan,39.183608,-96.571669
80,vandergrift,40.602843,-79.564767
68,canton,32.612638,-90.036751
93,hallettsville,29.443853,-96.941093
55,inola,36.151210,-95.509419
52,orange county,33.717471,-117.831143
65,vancouver,49.261226,-123.113927
80,lake wales,27.901413,-81.585910
61,maywood,40.902599,-74.061807
65,essex,39.309274,-76.474962
100,lyles,35.920607,-87.346117
82,boonville,43.483680,-75.336561
51,union city,33.587056,-84.542430
77,holly springs,34.767597,-89.448689
76,lenoir,35.914020,-81.538985
89,ferrum,36.922916,-80.013371
96,doylestown,40.970055,-81.696517
75,merritt island,28.314751,-80.660301
52,richwood,40.426448,-83.296863
53,pomona,41.189850,-74.053709
64,batavia,39.077007,-84.176879
62,winters,38.524907,-121.970802
78,vail,32.000528,-110.700921
63,plainview,34.184794,-101.706842
62,oakhurst,40.261351,-74.023593
87,keller,32.934570,-97.251682
73,beaverton,45.487062,-122.803710
73,pickering,43.838412,-79.086758
56,riverdale park,38.963444,-76.931641
85,moncks corner,33.196003,-80.013137
65,chandler,33.306160,-111.841250
78,cromwell,41.595099,-72.645370
63,carmel,39.978371,-86.118043
95,lawrence,42.707035,-71.163114
77,north judson,41.215040,-86.775850
53,alpine,32.835052,-116.766411
93,seabrook,29.564118,-95.025484
81,butler,40.861176,-79.895333
58,westwood,42.213987,-71.224499
80,wittenberg,44.827195,-89.169557
64,rexburg,43.823056,-111.785278
55,kitchener,43.434311,-80.477747
93,heber springs,35.491468,-92.031260
93,defuniak springs,30.721023,-86.115218
64,northbridge,42.151632,-71.649441
69,ardsley,41.010653,-73.843745
64,juniata county,40.552164,-77.424297
86,east syracuse,43.065345,-76.078533
58,highland park,40.495938,-74.424318
99,newport news,37.087082,-76.473012
51,sartell,45.621632,-94.206936
66,playa del rey,33.956419,-118.442232
79,goleta,34.435829,-119.827639
53,earth city,38.769917,-90.466750
78,hillsdale,41.002598,-74.040418
69,rehoboth,41.847006,-71.239393
55,colonial heights,37.244039,-77.410261
89,astoria,40.762392,-73.930104
86,whiteman afb,38.728995,-93.560552
59,acme,40.126588,-79.428788
81,brentwood,36.033116,-86.782777
57,three oaks,41.798654,-86.610578
73,la marque,29.368567,-94.971313
50,highland,38.739492,-89.671201
92,baldwin city,38.775007,-95.186360
60,stanley,35.359026,-81.097021
77,carolina beach,34.035173,-77.893597
72,arlington,35.296197,-89.661469
91,somerville,42.387597,-71.099497
67,bohemia,40.769265,-73.115112
63,tunkhannock,41.538688,-75.946588
66,portersville,40.922841,-80.142282
59,lawrence,38.971669,-95.235250
64,commerce city,39.808320,-104.933867
89,canton,44.595616,-75.169094
75,sayville,40.735932,-73.082056
57,magnolia,30.209379,-95.750782
94,hagerstown,39.911158,-85.161631
65,greenfield,39.352008,-83.382693
72,elkins park,40.069704,-75.125349
71,orange,30.092988,-93.736555
61,hornell,42.327848,-77.661102
64,beloit,42.508348,-89.031776
83,montezuma,32.305158,-84.027407
76,montauk,41.035935,-71.954515
55,washington crossing,40.292903,-74.871877
86,newberry,29.646354,-82.606502
77,hillside,40.695504,-74.228733
50,florham park,40.787878,-74.388207
98,wolfeboro,43.585207,-71.209480
65,jerseyville,39.120047,-90.328448
63,windsor,43.480000,-72.386568
80,grayson,38.332581,-82.948502
56,hastings-on-hudson,40.994542,-73.878746
87,wausau,44.959135,-89.630122
70,haworth,40.960932,-73.990138
76,davenport,28.161405,-81.601742
57,loretto,35.077859,-87.439743
52,hayti,36.233679,-89.749527
87,alsip,41.668922,-87.738662
64,richmond,39.278622,-93.976888
91,hampden sydney,37.242375,-78.459717
69,wahpeton,46.265237,-96.605907
52,lake forest,33.646966,-117.689218
91,spencer,43.145075,-95.144318
52,linwood,39.339838,-74.575156
100,upper darby,39.957902,-75.307688
68,elk city,35.411994,-99.404259
56,hazlet,40.415556,-74.191111
75,atlantic city,39.364283,-74.422927
78,bullard,32.139880,-95.320229
92,lindale,32.515697,-95.409400
61,o'neill,42.457672,-98.647888
60,addis,30.353804,-91.265387
74,selbyville,38.460392,-75.220744
53,circle pines,45.148577,-93.151612
93,clute,29.024691,-95.398829
77,gettysburg,39.830929,-77.231095
54,ludlow,43.395906,-72.700652
73,ashburnham,42.635545,-71.909739
64,nazareth,40.740375,-75.309624
99,lisbon,40.772004,-80.768134
85,jesup,31.607436,-81.885392
98,olmsted falls,41.375049,-81.908194
70,normal,40.514203,-88.990631
100,crown point,41.416981,-87.365313
93,darien,31.370226,-81.433990
70,lehighton,40.833703,-75.713801
84,kingston,35.880908,-84.508545
82,watchung,40.637880,-74.450986
75,bennington,42.878135,-73.196774
50,brookhaven,40.779265,-72.915383
92,stockbridge,33.544278,-84.233809
59,chelsea,33.340111,-86.630263
97,zeeland,42.812525,-86.018651
94,laplace,30.066591,-90.480085
84,hackensack,40.885932,-74.043474
59,morton,40.612816,-89.459261
64,hacienda heights,33.993068,-117.968675
79,bryant,34.595926,-92.489047
91,westfield,42.125093,-72.749538
72,waseca,44.077041,-93.508384
100,stanhope,40.902876,-74.709052
55,crete,40.625217,-96.961514
66,mequon,43.235883,-87.989257
97,simi valley,34.269447,-118.781482
64,montgomery,44.438315,-93.581320
63,gate city,36.637877,-82.580988
63,newport,41.490102,-71.312828
59,byron center,42.812251,-85.722806
76,slippery rock,41.063951,-80.056447
76,sterling,41.788642,-89.696219
73,milan,42.085320,-83.682438
59,crestwood,38.324236,-85.472459
66,pittsboro,35.720146,-79.177237
53,ciudad obregon,27.494049,-109.939102
84,exmore,37.531801,-75.822986
75,lansdale,40.241495,-75.283786
61,tumwater,47.007319,-122.909306
91,muskegon,43.234181,-86.248392
51,delton,42.499854,-85.408229
64,dubuque,42.500558,-90.664572
77,windsor,45.568871,-72.005547
74,huntingdon,36.000618,-88.428106
57,red lodge,45.185778,-109.246821
75,lafayette,36.521162,-86.026373
99,tarboro,35.896824,-77.535805
85,east meadow,40.713990,-73.559016
77,fremont,43.467517,-85.942001
76,palos park,41.667255,-87.830331
65,menomonie,44.875518,-91.919342
19,zebulon,35.824321,-78.314720
2,oak ridge,36.010356,-84.269645
15,excelsior springs,39.339171,-94.226056
1,east walpole,42.161495,-71.210107
4,brookline,42.734810,-71.658127
4,spring house,40.185386,-75.227676
0,waterville,41.500886,-83.718270
45,afton,36.693687,-94.963017
33,ithaca,42.443961,-76.501881
44,belzoni,33.184291,-90.489256
27,mountainhome,41.173702,-75.271015
41,wichita falls,33.913708,-98.493387
1,rock springs,41.587464,-109.202904
13,pageland,34.773210,-80.391731
36,nags head,35.957392,-75.624062
29,shelbyville,39.406428,-88.790069
38,dodge city,37.752798,-100.017079
44,prince george,37.222038,-77.285630
35,azle,32.895126,-97.545856
23,beaver,40.695344,-80.304785
27,princeton,38.355324,-87.567522
40,murfreesboro,36.442375,-77.098575
39,greensboro,36.072635,-79.791975
26,tobyhanna,41.177032,-75.417962
50,collinsville,36.364538,-95.838877
35,greenwood,34.195400,-82.161788
6,pearland,29.563567,-95.286047
31,lumberton,30.265766,-94.199629
8,coshocton,40.272015,-81.859576
27,west jefferson,36.403736,-81.492883
35,salem,42.554237,-88.110480
4,sawyer,41.885503,-86.589840
16,queen creek,33.248664,-111.634299
50,ramseur,35.733471,-79.652527
12,thomaston,32.888188,-84.326585
46,clifton,39.091926,-108.448978
0,hamlin,43.302942,-77.921036
38,secaucus,40.789545,-74.056530
30,plymouth,43.748605,-87.977038
40,buda,30.081723,-97.842893
35,navasota,30.387985,-96.087735
12,virginia,47.523260,-92.536571
22,smyrna,39.299834,-75.604649
2,kamas,40.643007,-111.280738
20,fulton,39.151169,-76.923051
5,bluffton,32.237147,-80.860387
8,grayslake,42.344466,-88.041746
29,weedsport,43.048677,-76.562720
26,teaneck,40.893247,-74.011654
10,newark,37.529659,-122.040240
38,ballston spa,43.000909,-73.849011
15,henderson,36.329591,-78.399164
2,kansas city,39.099726,-94.578567
7,palmerton,40.801483,-75.610187
21,highland,41.553647,-87.451984
6,carterville,37.760050,-89.077299
27,park city,40.646062,-111.497973
10,barrington,42.153914,-88.136189
5,laurel,38.556504,-75.571314
46,lebanon,44.536512,-122.907034
41,fort frances,48.609949,-93.395528
32,fargo,46.877186,-96.789803
24,lanham,38.968511,-76.862033
24,bellevue,41.273665,-82.841576
